Case_ID,Case_Type,Status,Outcome
C0001,Contract Dispute,Open,Lost
C0002,Regulatory Issue,Closed,Lost
C0003,Regulatory Issue,Closed,Settled
C0004,Patent Infringement,Closed,Lost
C0005,Patent Infringement,Closed,Lost
C0006,Regulatory Issue,Open,Settled
C0007,Contract Dispute,Closed,Won
C0008,Patent Infringement,Closed,Won
C0009,Patent Infringement,Open,Won
C0010,Patent Infringement,Closed,Settled
C0011,Regulatory Issue,Open,Lost
C0012,Regulatory Issue,Closed,Settled
C0013,Regulatory Issue,Open,Settled
C0014,Regulatory Issue,Open,Lost
C0015,Contract Dispute,Open,Won
C0016,Contract Dispute,Open,Won
C0017,Regulatory Issue,Closed,Settled
C0018,Contract Dispute,Open,Won
C0019,Patent Infringement,Closed,Settled
C0020,Patent Infringement,Open,Settled
C0021,Patent Infringement,Open,Lost
C0022,Regulatory Issue,Open,Lost
C0023,Patent Infringement,Closed,Lost
C0024,Contract Dispute,Open,Settled
C0025,Regulatory Issue,Closed,Lost
C0026,Contract Dispute,Closed,Won
C0027,Patent Infringement,Closed,Won
C0028,Patent Infringement,Closed,Settled
C0029,Patent Infringement,Closed,Settled
C0030,Regulatory Issue,Closed,Lost
C0031,Contract Dispute,Closed,Settled
C0032,Regulatory Issue,Closed,Settled
C0033,Regulatory Issue,Closed,Won
C0034,Patent Infringement,Open,Won
C0035,Regulatory Issue,Open,Lost
C0036,Regulatory Issue,Open,Settled
C0037,Patent Infringement,Open,Settled
C0038,Regulatory Issue,Open,Won
C0039,Patent Infringement,Closed,Settled
C0040,Patent Infringement,Closed,Won
C0041,Patent Infringement,Closed,Lost
C0042,Patent Infringement,Closed,Won
C0043,Regulatory Issue,Closed,Settled
C0044,Patent Infringement,Closed,Lost
C0045,Patent Infringement,Closed,Won
C0046,Regulatory Issue,Open,Won
C0047,Regulatory Issue,Open,Lost
C0048,Contract Dispute,Open,Lost
C0049,Regulatory Issue,Open,Won
C0050,Regulatory Issue,Closed,Settled
